Service1,Service2,NumberOfCommonChanges
Stop_XAGEL,Touch_KUFET,1
Stop_XAGEL,Freeze_WEBEZ,1
Stop_XAGEL,Start_XICOB,1
Stop_XAGEL,Assign_DEHAM,1
Stop_XAGEL,SetStatus_GEPET,2
IsExistent_ZEHOM,Start_VODOG,1
IsExistent_ZEHOM,Initialize_WUFAK,1
IsExistent_ZEHOM,Stop_XAGEL,1
IsExistent_ZEHOM,Report_COLEQ,1
IsExistent_ZEHOM,Reject_FANAS,1
IsExistent_ZEHOM,Complete_HIROV,1
IsExistent_ZEHOM,Transform_KOSAX,1
IsExistent_ZEHOM,Collect_PIZEK,1
IsExistent_ZEHOM,Touch_SADEN,1
IsExistent_ZEHOM,Generate_TEFOQ,1
IsExistent_ZEHOM,Convert_VIGAR,1
IsExistent_ZEHOM,Round_WOHES,1
IsExistent_ZEHOM,Migrate_XUKOT,1
IsExistent_ZEHOM,Start_BEMEX,1
IsExistent_ZEHOM,Initialize_CINOZ,1
IsExistent_ZEHOM,Stop_DOPAB,1
IsExistent_ZEHOM,IsExistent_FUREG,1
IsExistent_ZEHOM,Select_KIVEM,1
IsExistent_ZEHOM,SetStatus_MUZAQ,1
IsExistent_ZEHOM,Send_QIDAT,1
IsExistent_ZEHOM,Renew_ROFEV,1
IsExistent_ZEHOM,Delete_SUGOX,1
IsExistent_ZEHOM,Collect_TAHAZ,1
IsExistent_ZEHOM,Trigger_WILOG,1
IsExistent_ZEHOM,Generate_ZUNEL,1
IsExistent_ZEHOM,Convert_BAPOM,1
IsExistent_ZEHOM,Freeze_FOTOR,1
IsExistent_ZEHOM,Start_GUVAS,1
IsExistent_ZEHOM,Initialize_HAXET,1
IsExistent_ZEHOM,Stop_KEZOV,1
IsExistent_ZEHOM,IsExistent_LIBAX,1
IsExistent_ZEHOM,Report_NUDOB,1
IsExistent_ZEHOM,Select_PAFAG,1
IsExistent_ZEHOM,Reject_QEGEK,1
IsExistent_ZEHOM,SetStatus_RIHOL,1
IsExistent_ZEHOM,Transform_TULEN,1
IsExistent_ZEHOM,Send_VAMOQ,1
IsExistent_ZEHOM,Renew_WENAR,1
IsExistent_ZEHOM,Receive_BUSAV,1
IsExistent_ZEHOM,Trigger_CATEX,1
IsExistent_ZEHOM,Touch_DEVOZ,1
IsExistent_ZEHOM,Generate_FIXAB,1
IsExistent_ZEHOM,Round_HUBOK,1
IsExistent_ZEHOM,Freeze_WEBEZ,1
IsExistent_ZEHOM,Start_XICOB,1
IsExistent_ZEHOM,Assign_DEHAM,1
IsExistent_ZEHOM,SetStatus_GEPET,2
Report_COLEQ,Start_VODOG,1
Report_COLEQ,Initialize_WUFAK,1
Report_COLEQ,Stop_XAGEL,1
Report_COLEQ,IsExistent_ZEHOM,1
Report_COLEQ,Reject_FANAS,1
Report_COLEQ,Complete_HIROV,1
Report_COLEQ,Transform_KOSAX,1
Report_COLEQ,Collect_PIZEK,1
Report_COLEQ,Touch_SADEN,1
Report_COLEQ,Generate_TEFOQ,1
Report_COLEQ,Convert_VIGAR,1
Report_COLEQ,Round_WOHES,1
Report_COLEQ,Migrate_XUKOT,1
Report_COLEQ,Start_BEMEX,1
Report_COLEQ,Initialize_CINOZ,1
Report_COLEQ,Stop_DOPAB,1
Report_COLEQ,IsExistent_FUREG,1
Report_COLEQ,Select_KIVEM,1
Report_COLEQ,SetStatus_MUZAQ,1
Report_COLEQ,Send_QIDAT,1
Report_COLEQ,Renew_ROFEV,1
Report_COLEQ,Delete_SUGOX,1
Report_COLEQ,Collect_TAHAZ,1
Report_COLEQ,Trigger_WILOG,1
Report_COLEQ,Generate_ZUNEL,1
Report_COLEQ,Convert_BAPOM,1
Report_COLEQ,Freeze_FOTOR,1
Report_COLEQ,Start_GUVAS,1
Report_COLEQ,Initialize_HAXET,1
Report_COLEQ,Stop_KEZOV,1
Report_COLEQ,IsExistent_LIBAX,1
Report_COLEQ,Report_NUDOB,1
Report_COLEQ,Select_PAFAG,1
Report_COLEQ,Reject_QEGEK,1
Report_COLEQ,SetStatus_RIHOL,1
Report_COLEQ,Transform_TULEN,1
Report_COLEQ,Send_VAMOQ,1
Report_COLEQ,Renew_WENAR,1
Report_COLEQ,Receive_BUSAV,1
Report_COLEQ,Trigger_CATEX,1
Report_COLEQ,Touch_DEVOZ,1
Report_COLEQ,Generate_FIXAB,1
Report_COLEQ,Round_HUBOK,1
Report_COLEQ,Freeze_WEBEZ,1
Report_COLEQ,Start_XICOB,1
Report_COLEQ,Assign_DEHAM,1
Report_COLEQ,SetStatus_GEPET,2
Select_DUMOR,SetStatus_WAREB,1
Reject_FANAS,Start_VODOG,1
Reject_FANAS,Initialize_WUFAK,1
Reject_FANAS,Stop_XAGEL,1
Reject_FANAS,IsExistent_ZEHOM,1
Reject_FANAS,Report_COLEQ,1
Reject_FANAS,Complete_HIROV,1
Reject_FANAS,Transform_KOSAX,1
Reject_FANAS,Collect_PIZEK,1
Reject_FANAS,Touch_SADEN,1
Reject_FANAS,Generate_TEFOQ,1
Reject_FANAS,Convert_VIGAR,1
Reject_FANAS,Round_WOHES,1
Reject_FANAS,Migrate_XUKOT,1
Reject_FANAS,Start_BEMEX,1
Reject_FANAS,Initialize_CINOZ,1
Reject_FANAS,Stop_DOPAB,1
Reject_FANAS,IsExistent_FUREG,1
Reject_FANAS,Select_KIVEM,1
Reject_FANAS,SetStatus_MUZAQ,1
Reject_FANAS,Send_QIDAT,1
Reject_FANAS,Renew_ROFEV,1
Reject_FANAS,Delete_SUGOX,1
Reject_FANAS,Collect_TAHAZ,1
Reject_FANAS,Trigger_WILOG,1
Reject_FANAS,Generate_ZUNEL,1
Reject_FANAS,Convert_BAPOM,1
Reject_FANAS,Freeze_FOTOR,1
Reject_FANAS,Start_GUVAS,1
Reject_FANAS,Initialize_HAXET,1
Reject_FANAS,Stop_KEZOV,1
Reject_FANAS,IsExistent_LIBAX,1
Reject_FANAS,Report_NUDOB,1
Reject_FANAS,Select_PAFAG,1
Reject_FANAS,Reject_QEGEK,1
Reject_FANAS,SetStatus_RIHOL,1
Reject_FANAS,Transform_TULEN,1
Reject_FANAS,Send_VAMOQ,1
Reject_FANAS,Renew_WENAR,1
Reject_FANAS,Receive_BUSAV,1
Reject_FANAS,Trigger_CATEX,1
Reject_FANAS,Touch_DEVOZ,1
Reject_FANAS,Generate_FIXAB,1
Reject_FANAS,Round_HUBOK,1
Reject_FANAS,Freeze_WEBEZ,1
Reject_FANAS,Start_XICOB,1
Reject_FANAS,Assign_DEHAM,1
Reject_FANAS,SetStatus_GEPET,2
SetStatus_GEPET,Start_VODOG,2
SetStatus_GEPET,Initialize_WUFAK,2
SetStatus_GEPET,Stop_XAGEL,2
SetStatus_GEPET,IsExistent_ZEHOM,2
SetStatus_GEPET,Report_COLEQ,2
SetStatus_GEPET,Reject_FANAS,2
SetStatus_GEPET,Complete_HIROV,2
SetStatus_GEPET,Transform_KOSAX,2
SetStatus_GEPET,Collect_PIZEK,2
SetStatus_GEPET,Touch_SADEN,2
SetStatus_GEPET,Generate_TEFOQ,2
SetStatus_GEPET,Convert_VIGAR,2
SetStatus_GEPET,Round_WOHES,2
SetStatus_GEPET,Migrate_XUKOT,2
SetStatus_GEPET,Start_BEMEX,2
SetStatus_GEPET,Initialize_CINOZ,2
SetStatus_GEPET,Stop_DOPAB,2
SetStatus_GEPET,IsExistent_FUREG,2
SetStatus_GEPET,Select_KIVEM,2
SetStatus_GEPET,SetStatus_MUZAQ,2
SetStatus_GEPET,Send_QIDAT,2
SetStatus_GEPET,Renew_ROFEV,2
SetStatus_GEPET,Delete_SUGOX,2
SetStatus_GEPET,Collect_TAHAZ,2
SetStatus_GEPET,Trigger_WILOG,2
SetStatus_GEPET,Generate_ZUNEL,2
SetStatus_GEPET,Convert_BAPOM,2
SetStatus_GEPET,Freeze_FOTOR,2
SetStatus_GEPET,Start_GUVAS,2
SetStatus_GEPET,Initialize_HAXET,2
SetStatus_GEPET,Stop_KEZOV,2
SetStatus_GEPET,IsExistent_LIBAX,2
SetStatus_GEPET,Report_NUDOB,2
SetStatus_GEPET,Select_PAFAG,2
SetStatus_GEPET,Reject_QEGEK,2
SetStatus_GEPET,SetStatus_RIHOL,2
SetStatus_GEPET,Transform_TULEN,2
SetStatus_GEPET,Send_VAMOQ,2
SetStatus_GEPET,Renew_WENAR,2
SetStatus_GEPET,Receive_BUSAV,2
SetStatus_GEPET,Trigger_CATEX,2
SetStatus_GEPET,Touch_DEVOZ,2
SetStatus_GEPET,Generate_FIXAB,2
SetStatus_GEPET,Round_HUBOK,2
SetStatus_GEPET,Freeze_WEBEZ,2
SetStatus_GEPET,Start_XICOB,2
SetStatus_GEPET,Assign_DEHAM,2
Complete_HIROV,Start_VODOG,1
Complete_HIROV,Initialize_WUFAK,1
Complete_HIROV,Stop_XAGEL,1
Complete_HIROV,IsExistent_ZEHOM,1
Complete_HIROV,Report_COLEQ,1
Complete_HIROV,Reject_FANAS,1
Complete_HIROV,Transform_KOSAX,1
Complete_HIROV,Collect_PIZEK,1
Complete_HIROV,Touch_SADEN,1
Complete_HIROV,Generate_TEFOQ,1
Complete_HIROV,Convert_VIGAR,1
Complete_HIROV,Round_WOHES,1
Complete_HIROV,Migrate_XUKOT,1
Complete_HIROV,Start_BEMEX,1
Complete_HIROV,Initialize_CINOZ,1
Complete_HIROV,Stop_DOPAB,1
Complete_HIROV,IsExistent_FUREG,1
Complete_HIROV,Select_KIVEM,1
Complete_HIROV,SetStatus_MUZAQ,1
Complete_HIROV,Send_QIDAT,1
Complete_HIROV,Renew_ROFEV,1
Complete_HIROV,Delete_SUGOX,1
Complete_HIROV,Collect_TAHAZ,1
Complete_HIROV,Trigger_WILOG,1
Complete_HIROV,Generate_ZUNEL,1
Complete_HIROV,Convert_BAPOM,1
Complete_HIROV,Freeze_FOTOR,1
Complete_HIROV,Start_GUVAS,1
Complete_HIROV,Initialize_HAXET,1
Complete_HIROV,Stop_KEZOV,1
Complete_HIROV,IsExistent_LIBAX,1
Complete_HIROV,Report_NUDOB,1
Complete_HIROV,Select_PAFAG,1
Complete_HIROV,Reject_QEGEK,1
Complete_HIROV,SetStatus_RIHOL,1
Complete_HIROV,Transform_TULEN,1
Complete_HIROV,Send_VAMOQ,1
Complete_HIROV,Renew_WENAR,1
Complete_HIROV,Receive_BUSAV,1
Complete_HIROV,Trigger_CATEX,1
Complete_HIROV,Touch_DEVOZ,1
Complete_HIROV,Generate_FIXAB,1
Complete_HIROV,Round_HUBOK,1
Complete_HIROV,Freeze_WEBEZ,1
Complete_HIROV,Start_XICOB,1
Complete_HIROV,Assign_DEHAM,1
Complete_HIROV,SetStatus_GEPET,2
Transform_KOSAX,Start_VODOG,1
Transform_KOSAX,Initialize_WUFAK,1
Transform_KOSAX,Stop_XAGEL,1
Transform_KOSAX,IsExistent_ZEHOM,1
Transform_KOSAX,Report_COLEQ,1
Transform_KOSAX,Reject_FANAS,1
Transform_KOSAX,Complete_HIROV,1
Transform_KOSAX,Collect_PIZEK,1
Transform_KOSAX,Touch_SADEN,1
Transform_KOSAX,Generate_TEFOQ,1
Transform_KOSAX,Convert_VIGAR,1
Transform_KOSAX,Round_WOHES,1
Transform_KOSAX,Migrate_XUKOT,1
Transform_KOSAX,Start_BEMEX,1
Transform_KOSAX,Initialize_CINOZ,1
Transform_KOSAX,Stop_DOPAB,1
Transform_KOSAX,IsExistent_FUREG,1
Transform_KOSAX,Select_KIVEM,1
Transform_KOSAX,SetStatus_MUZAQ,1
Transform_KOSAX,Send_QIDAT,1
Transform_KOSAX,Renew_ROFEV,1
Transform_KOSAX,Delete_SUGOX,1
Transform_KOSAX,Collect_TAHAZ,1
Transform_KOSAX,Trigger_WILOG,1
Transform_KOSAX,Generate_ZUNEL,1
Transform_KOSAX,Convert_BAPOM,1
Transform_KOSAX,Freeze_FOTOR,1
Transform_KOSAX,Start_GUVAS,1
Transform_KOSAX,Initialize_HAXET,1
Transform_KOSAX,Stop_KEZOV,1
Transform_KOSAX,IsExistent_LIBAX,1
Transform_KOSAX,Report_NUDOB,1
Transform_KOSAX,Select_PAFAG,1
Transform_KOSAX,Reject_QEGEK,1
Transform_KOSAX,SetStatus_RIHOL,1
Transform_KOSAX,Transform_TULEN,1
Transform_KOSAX,Send_VAMOQ,1
Transform_KOSAX,Renew_WENAR,1
Transform_KOSAX,Receive_BUSAV,1
Transform_KOSAX,Trigger_CATEX,1
Transform_KOSAX,Touch_DEVOZ,1
Transform_KOSAX,Generate_FIXAB,1
Transform_KOSAX,Round_HUBOK,1
Transform_KOSAX,Freeze_WEBEZ,1
Transform_KOSAX,Start_XICOB,1
Transform_KOSAX,Assign_DEHAM,1
Transform_KOSAX,SetStatus_GEPET,2
Send_LUTEZ,Assign_GASOK,1
Send_LUTEZ,Report_HETAL,1
Send_LUTEZ,Receive_VEKEB,1
Send_LUTEZ,Touch_XOMAK,1
Send_LUTEZ,Round_CERAN,1
Send_LUTEZ,Assign_MOCEZ,1
Send_LUTEZ,Report_NUDOB,1
Send_LUTEZ,Complete_SOKAM,1
Send_LUTEZ,Delete_XIPES,1
Renew_MAVOB,Delete_DAZAN,2
Renew_MAVOB,Receive_GICOR,2
Delete_NEXAG,Convert_LENOB,1
Delete_NEXAG,Round_MIPAG,1
Delete_NEXAG,Migrate_NOREK,1
Delete_NEXAG,Freeze_PUSOL,1
Delete_NEXAG,Transform_DAKEG,1
Delete_NEXAG,Send_FELOK,1
Delete_NEXAG,Generate_POVAT,1
Delete_NEXAG,Trigger_HODAS,1
Collect_PIZEK,Start_VODOG,1
Collect_PIZEK,Initialize_WUFAK,1
Collect_PIZEK,Stop_XAGEL,1
Collect_PIZEK,IsExistent_ZEHOM,1
Collect_PIZEK,Report_COLEQ,1
Collect_PIZEK,Reject_FANAS,1
Collect_PIZEK,Complete_HIROV,1
Collect_PIZEK,Transform_KOSAX,1
Collect_PIZEK,Touch_SADEN,1
Collect_PIZEK,Generate_TEFOQ,1
Collect_PIZEK,Convert_VIGAR,1
Collect_PIZEK,Round_WOHES,1
Collect_PIZEK,Migrate_XUKOT,1
Collect_PIZEK,Start_BEMEX,1
Collect_PIZEK,Initialize_CINOZ,1
Collect_PIZEK,Stop_DOPAB,1
Collect_PIZEK,IsExistent_FUREG,1
Collect_PIZEK,Select_KIVEM,1
